venue_id,venueName,tag_id,tag,frequency,modelCount,wordCount,models,prompts,extraction_run_id
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,8f21d46c-8e4a-5736-856b-712c55485e3f,zero cooperation,8,3,2,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,814758d3-4515-5eda-acdb-abecb73237a6,excessive noise,7,3,0,"claude,gemini,grok","anti_hallucination,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,a8acd8d5-3faf-5561-a615-2275de747f4a,late night noise,7,3,3,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,388de7c0-a5ec-535e-93b6-62a1347c720f,gym facilities,6,3,0,"claude,gemini,grok","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,5a2d3be5-6f88-59c4-92a0-32039958826a,lack of respect,6,2,3,"gemini,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c3894837-3a5b-5526-8ee0-0b99a32772fa,attentive service,5,3,0,"claude,gemini,grok","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,0a576d95-e1d3-51a6-bcc5-bc2f18af8b79,lack of cooperation,5,4,3,"claude,gemini,grok,openai","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,2021cb6d-8ea0-5c1c-b527-4c7bd3f34b17,maximum noise level,5,2,3,"gemini,openai","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,99836f6b-560d-5ba7-84f1-2184926d0a48,voicemail,5,1,1,openai,"anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,75cc7208-98ed-5ecf-a077-52328f8065ad,bodycombat,4,2,1,"claude,openai","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,df758a89-0e66-51ce-87c8-0c7f06d29e1f,breakfast available,4,1,0,claude,"anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,8fdd87c4-22fb-5bb8-8a03-da1d212b71f0,disrespectful staff,4,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,304bae2f-94cb-57f4-a7f9-d0d1a35b2b33,high noise level,4,2,3,"grok,openai","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,e807d0b4-3604-5dcc-9276-5884a1fe58ff,loud noise,4,2,0,"claude,gemini","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,3450a6b3-c271-5edf-ab07-2ab4f130a7b4,noise until 1:30 a.m,4,3,0,"claude,gemini,grok",anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,66232ac1-868b-5f37-8708-ae2519d40492,poor communication,4,2,0,"claude,gemini","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,d29f5b7e-4020-55ee-9145-515aac712384,attentive waiter,3,2,2,"claude,openai","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,6bbd28d9-b422-5946-81b0-b1e8a15687db,average service,3,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,bd89841f-02f1-5ddd-90d6-b55b4d91c367,bodypump bodystep classes,3,1,3,openai,"anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,a9716084-384f-52cf-853d-9ac42867915c,excellent facilities,3,2,2,"grok,openai","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,dffa2965-37d7-5788-b0b2-6492e6902c95,exercise facilities,3,2,0,"gemini,grok","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,a69dbff6-a816-51da-b984-edfb49b53827,friendly attentive service,3,1,0,claude,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,2c4f92a5-e938-5329-b506-ab7d055bc5fe,hours inquiry,3,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c4fbfd73-1fe0-5226-86db-ad4821fb0f78,information request,3,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c08f7757-f129-5f43-807d-fb33b33a7e23,late night disturbance,3,2,0,"claude,grok",short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,37a6e461-41cf-5a6e-990e-4a670afe4513,uncooperative management,3,2,0,"claude,gemini","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,743c6da3-a503-5e46-b3ff-99c0670cb3f0,uncooperative staff,3,2,2,"gemini,openai","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,d97bdfa4-3eb1-5227-b9aa-47c9b56b9b92,attentive staff,2,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,04109c02-82d3-5007-8d48-9fdf5a6839e7,bad respect,2,1,0,grok,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,eb159335-c270-5d6c-aaca-1fadab9ce309,friendly staff,2,2,2,"gemini,openai","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,60fd6c91-3cd4-5943-ac45-5518c4037d9b,group fitness classes,2,1,0,claude,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,cc1e3100-c5cf-5173-9b93-a7939892cf35,gym available,2,1,0,grok,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,0befdc90-4119-5dfa-8406-11771486ce7e,late-night noise,2,2,2,"grok,openai",minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,449c2613-3e05-59eb-9be8-1a591eb10420,no cooperation,2,1,2,openai,"anti_hallucination,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,937a445a-1b14-5ab4-87fb-15d7867c8f13,noise until late,2,2,0,"claude,gemini","anti_hallucination,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,53672622-0e9b-5dc2-9ebc-1543b3681603,noise until late night,2,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,165427c2-c3dc-5385-8814-9ec0f1b360be,noisy environment,2,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,3c60cd41-97bf-5add-a72f-7baf8daf7884,price inquiries,2,2,2,"grok,openai","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,8a51f689-6245-5e51-99ee-e8d7c912a09e,price inquiry,2,1,2,openai,"anti_hallucination,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c75eb4e0-0400-5a35-baec-629edb9a5c8a,very nice place,2,2,0,"gemini,grok","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,78af66bf-ea06-5cf1-861e-2b706529a584,voicemail issues,2,2,0,"gemini,grok",short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,ef8fe850-d107-587c-bc5b-23697f64fa25,voicemail on calls,2,1,0,grok,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,07735d0e-747a-5b4f-b198-3de315f1ccd0,action requested,1,1,2,openai,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,9059fed5-7c2b-5d32-88b4-7f35137d1c79,average reception service,1,1,0,gemini,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,814fda69-f902-5faf-b70f-3e0254805d1d,average receptionist,1,1,0,grok,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,ae9f2bcd-69b4-56d1-8818-fec04dc07afd,bodycombat class,1,1,2,openai,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c3b25fe2-9932-5133-a7b0-0f20c0a1ad9a,bodypump,1,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,8592141e-8266-59aa-9ed0-181628bdb012,bodystep,1,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,1367f728-ef2a-5e07-87ee-f91c61c9483f,breakfast,1,1,0,claude,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,d64dbf65-c408-5f0e-a043-d2517665c32f,business hours,1,1,2,openai,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,640c1bf8-4e6a-5f56-8815-850de4978923,disrespectful to neighbors,1,1,0,claude,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,bfb914c7-266a-5969-994a-ccf9da9e8fda,everything for exercise,1,1,0,gemini,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,8050620f-0611-5235-bac6-adffa26e19b9,excellent exercise facilities,1,1,0,grok,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,9df7670f-5a5c-510c-aa8c-55c1c7d549d6,excellent exercise options,1,1,0,grok,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,1e71fd10-80f8-5022-9d63-117bf85c32b4,exercise facility,1,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,ea15a108-5d7b-5fd8-881f-ddc168cc69d2,fitness facilities,1,1,2,openai,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,198c3b04-42f0-5040-9726-7fd98147643a,friendly service,1,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,054991ab-6fc1-553e-bbc0-8864b4e4ebac,goes to voicemail,1,1,3,openai,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c7afcc60-c273-5c43-9984-0d1f18570848,good breakfast,1,1,0,claude,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,d4ea38fc-db41-5db7-8d12-904f4da5bb0e,good food,1,1,0,claude,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,7376e9b6-3b5d-5f1b-9cfe-336190b9872b,good location,1,1,0,gemini,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,77e28799-c394-50e2-9213-be6731352496,great gym,1,1,2,openai,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,45d2ea0c-320e-5ed1-8219-fe12e28e1ba0,hours questions,1,1,2,openai,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,bc1c42ae-a3cc-5d72-ad00-8f02a8395655,lack of information,1,1,0,gemini,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c97b44ef-ff59-55f1-b3a4-619743876f00,mixed service quality,1,1,0,claude,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,cf68a3c2-820d-581a-8e0e-cbdcf5df9fda,noise until 1:30 am,1,1,0,grok,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,38f29c9c-6895-55f1-91de-f11d650dc9a0,noisy atmosphere,1,1,0,grok,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,72b11f5f-f118-5bbf-abd2-6f660ccecae8,noisy until late,1,1,0,gemini,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,e32de085-c940-515a-81fd-87e9136a3564,opening hours,1,1,2,openai,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,f20c356d-4b46-5404-9e1b-c887e3f1ada4,operating hours,1,1,0,grok,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,52146000-db5a-54aa-aa66-6d292340e26d,paddle tennis courts,1,1,0,gemini,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,783131d3-3caf-577f-bee2-5dd8173854bf,poor cooperation,1,1,0,gemini,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,d968d1f7-6fe3-53f3-9188-878b95965538,poor noise management,1,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,6fdcaba2-4201-54f0-bcf9-26d97a71f131,poor phone response,1,1,0,claude,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,67bdc8b4-6c66-5897-9fa3-f98c36dd4c4a,poor phone responsiveness,1,1,0,claude,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,2c2dfa62-75ab-5176-897a-e2ced57aaee3,poor respect,1,1,2,openai,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,68000d51-4975-52fc-b5d7-ac1de65dc02a,price information,1,1,2,openai,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,0840cfa6-d9e0-58ce-abb0-dab2eb70aa04,pricing inquiry,1,1,2,openai,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,faf5a91f-f285-5977-a60b-196f79f7bc32,pricing questions,1,1,2,openai,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,4a2131b0-9be2-5b54-8853-24fbe7bb6cd9,recommend waiter,1,1,2,openai,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c33823d2-7007-5bec-87e3-62f020d041f6,unclear hours,1,1,0,gemini,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,e351e71d-3d1e-588b-8960-1dabeda511d4,unclear prices,1,1,0,gemini,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,5fc8ad5e-fbb6-5de4-8ca4-b379117edacf,unresponsive management,1,1,0,gemini,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,214b3a69-e1d4-5685-a968-daaf009016b4,unresponsive to complaints,1,1,0,claude,minimal,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,36aeb931-513f-5bb8-8c4d-f772ad4c8ad4,voicemail issue,1,1,0,gemini,anti_hallucination,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,cb7fe562-dec3-5a5e-9ec0-d2c975277087,voicemail response,1,1,0,grok,short_phrase,week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,b84c8fc1-99ce-52a5-ad92-f214fbb4f003,voicemail when called,1,1,0,gemini,anti_hallucination,week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,badcd518-2951-57d6-a4e3-59bc76955366,relaxed atmosphere,24,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,f331f476-78a9-5fe1-92f7-6eff133b12fd,freshly brewed coffee,23,4,3,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,a038d332-cfd9-5573-8619-c24844cdd1ce,delicious cookies,20,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,396709cd-27f3-5f6c-9ac8-b1a989ca4787,delicious coffee,18,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,789de865-a505-56d7-91c0-e9bb6ddd40a6,discriminatory service,18,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,f4f74c4a-8ea7-57b3-9740-55ff3ef4ae31,good coffee,18,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,58202e0c-0747-5670-b631-9922deeb4f9e,simple place,18,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,3fa11838-c2b6-5eb1-af17-7d9732d7d0a6,mostachón specialty,17,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,a18a4c6f-af8b-56dc-93ab-1b36fff94d7e,powder-based drinks,17,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,7857575c-947d-5cfb-af1a-ff63752886e7,small portions,16,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,8e64fc06-6ab0-58b8-bf3b-70e0f669f27a,favorite cafe,15,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,006e009d-ec23-5550-99e8-85fb7c2764f6,average cakes,14,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,ce0c7d1d-81d2-5b33-becb-d26b9f0ee9e5,good service,14,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,40a33cc7-a4e4-589b-acaa-e00cf246c75e,nice place,12,3,2,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,f1889adf-f04d-53da-8267-7c540541c5a8,average cookies,10,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,888ecd9e-4910-5bec-ae7a-a5467148c401,taylor swift music,9,4,3,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,c0dce2af-08e2-5225-ac5b-2e1b38491f36,no flavorings,8,3,2,"claude,grok,openai","anti_hallucination,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,505ff95f-d816-52e8-a157-477d7b803539,taylor swift songs,8,3,3,"claude,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,cb435651-dc9d-5670-868f-3a813ddc8348,very good service,8,3,0,"claude,gemini,grok","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,4fd03975-ed32-5708-bf18-a6c61b8e6ef1,excellent quality dessert,7,2,0,"claude,grok","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,ee09298e-e56a-526c-a096-04385f7791ef,judged by clothes,7,3,3,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,71e91c4d-9951-57b1-b5e4-a72c498235b6,strawberry mustache,7,2,2,"claude,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,a45333d1-c805-5fae-8fe3-7aab827c29fb,delicious mostachón,6,3,2,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,5115302a-320a-56ed-95ea-ba104a742f26,not hand-made coffee,6,3,0,"claude,gemini,grok","anti_hallucination,minimal",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,02872581-6439-5a37-b939-e2c2dde89e61,small cookies,6,2,2,"gemini,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,1b469d5c-4f9a-57a3-9459-11a63054dbe5,discriminatory treatment,5,2,2,"claude,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,0cd165b2-01e7-5651-92d9-226648f600d6,excellent desserts,5,2,2,"grok,openai","minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,e171a08b-3556-5162-bccc-0ac09df92d96,average cakes and cookies,4,3,0,"claude,gemini,grok","minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,eed72611-16bf-5028-b7de-7d0a364a688f,judgmental staff,4,2,2,"gemini,openai","minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,f56ffebe-ca8b-55d2-a70d-2d0c8e206c6c,powder based drinks,4,2,0,"gemini,grok","anti_hallucination,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,2c4d0093-d218-55e5-b8ad-231051417be5,quality desserts,4,1,0,claude,"minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,f9e9c009-75ae-5870-8817-2525fbcb29f2,average desserts,3,1,2,openai,"minimal,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,841cc6f3-9234-5727-bdca-e51f8ad09267,delicious strawberry mostachon,3,2,0,"gemini,grok","anti_hallucination,short_phrase",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,45686869-a934-5c61-b3bd-dbc76e0e9ec0,delicious strawberry mostachón,3,2,0,"gemini,grok","anti_hallucination,minimal",week2_run_20251223_191104
0HzILXSVSUitqiTSUGCJ,Marello Café,c43995b8-28ba-5ab1-802c-b851b1c3c37b,excellent dessert,3,2,2,"gemini,openai","anti_hallucination,minimal",week2_run_20251223_191104
